Test Case,Protocol,Fair Comparison,Throughput (req/s),Success Count,Total Requests,Avg Latency (ms),Min Latency (ms),Max Latency (ms),Std Dev (ms),Connection Time (ms),First Byte Time (ms),Fair Latency (ms),Processing Latency (ms),Traffic Total (MB),Traffic Headers (MB)
0ms/0%,HTTP/2,True,10458.28,1000,1000,0.03946,0.01455,0.06867,0.016,0.04182,0.09301000000000001,0.09301000000000001,0.051190000000000006,2.61,1.83
0ms/0%,HTTP/3,True,969.86,1000,1000,0.11753,0.00177,0.33394,0.119,,,0.11753,0.11753,2.46,1.85
100ms/1%,HTTP/2,True,9975.16,1000,1000,0.045079999999999995,0.01233,0.07644,0.01721,0.04324,0.09774,0.09774,0.05449999999999999,2.61,1.83
100ms/1%,HTTP/3,True,971.22,1000,1000,0.09512000000000001,0.69,0.28917000000000004,0.11678,,,0.09512000000000001,0.09512000000000001,2.47,1.85
150ms/3%,HTTP/2,True,10853.64,1000,1000,0.04052,0.013810000000000001,0.061450000000000005,0.01408,0.038450000000000005,0.0877,0.0877,0.049249999999999995,2.61,1.83
150ms/3%,HTTP/3,True,966.26,1000,1000,0.09193000000000001,0.655,0.30289,0.11832,,,0.09193000000000001,0.09193000000000001,2.46,1.85
50ms/0%,HTTP/2,True,10588.96,1000,1000,0.04451,0.01659,0.0735,0.01626,0.039450000000000006,0.09356999999999999,0.09356999999999999,0.05411999999999998,2.61,1.83
50ms/0%,HTTP/3,True,961.16,1000,1000,0.09459000000000001,0.912,0.28272,0.10883,,,0.09459000000000001,0.09459000000000001,1.89,1.42
